epsilon,cos_phi_r,delta,E_E0,Es_E0,Es_E,Es0_E0
0.05,0.75,0.05,0.9703868224883756,0.8860269191164148,0.9014938498510243,0.9141666666666667
0.05,0.75,0.061111111111111116,0.9702529184791131,0.8858997212878623,0.9014871668639304,0.9141666666666667
0.05,0.75,0.07222222222222222,0.9701190144698507,0.88577252345931,0.9014804820319521,0.9141666666666667
0.05,0.75,0.08333333333333333,0.9699851104605886,0.8856453256307577,0.901473795354325,0.9141666666666667
0.05,0.75,0.09444444444444444,0.969851206451326,0.8855181278022053,0.9014671068302854,0.9141666666666667
0.05,0.75,0.10555555555555556,0.9697173024420637,0.8853909299736529,0.9014604164590674,0.9141666666666667
0.05,0.75,0.11666666666666665,0.9695833984328014,0.8852637321451007,0.9014537242399066,0.9141666666666667
0.05,0.75,0.12777777777777777,0.9694494944235391,0.8851365343165482,0.9014470301720363,0.9141666666666667
0.05,0.75,0.1388888888888889,0.9693155904142768,0.8850093364879958,0.9014403342546914,0.9141666666666667
0.05,0.75,0.15,0.9691816864050143,0.8848821386594434,0.9014336364871047,0.9141666666666667
0.05,0.7777777777777778,0.05,0.9704083427755784,0.8859878378150509,0.9015092361475247,0.9141071428571428
0.05,0.7777777777777778,0.061111111111111116,0.9702792210523612,0.8858651827660898,0.9015027940607957,0.9141071428571428
0.05,0.7777777777777778,0.07222222222222222,0.9701500993291439,0.8857425277171287,0.9014963502592527,0.9141071428571428
0.05,0.7777777777777778,0.08333333333333333,0.9700209776059266,0.8856198726681673,0.9014899047422115,0.9141071428571428
0.05,0.7777777777777778,0.09444444444444444,0.9698918558827094,0.8854972176192062,0.9014834575089864,0.9141071428571428
0.05,0.7777777777777778,0.10555555555555556,0.9697627341594921,0.8853745625702449,0.9014770085588922,0.9141071428571428
0.05,0.7777777777777778,0.11666666666666665,0.9696336124362749,0.8852519075212839,0.901470557891243,0.9141071428571428
0.05,0.7777777777777778,0.12777777777777777,0.9695044907130576,0.8851292524723224,0.9014641055053525,0.9141071428571428
0.05,0.7777777777777778,0.1388888888888889,0.9693753689898402,0.8850065974233614,0.9014576514005342,0.9141071428571428
0.05,0.7777777777777778,0.15,0.969246247266623,0.8848839423744,0.9014511955761007,0.9141071428571428
0.05,0.8055555555555556,0.05,0.9704283789050432,0.8859514517758506,0.9015245477495492,0.914051724137931
0.05,0.8055555555555556,0.061111111111111116,0.9703037096550403,0.8858330262113365,0.901518329928029,0.914051724137931
0.05,0.8055555555555556,0.07222222222222222,0.9701790404050374,0.8857146006468221,0.9015121105085125,0.914051724137931
0.05,0.8055555555555556,0.08333333333333333,0.9700543711550346,0.8855961750823077,0.9015058894903839,0.914051724137931
0.05,0.8055555555555556,0.09444444444444444,0.9699297019050315,0.8854777495177935,0.9014996668730269,0.914051724137931
0.05,0.8055555555555556,0.10555555555555556,0.9698050326550288,0.8853593239532793,0.9014934426558243,0.914051724137931
0.05,0.8055555555555556,0.11666666666666665,0.969680363405026,0.885240898388765,0.9014872168381592,0.914051724137931
0.05,0.8055555555555556,0.12777777777777777,0.9695556941550231,0.8851224728242507,0.9014809894194146,0.914051724137931
0.05,0.8055555555555556,0.1388888888888889,0.9694310249050202,0.8850040472597365,0.9014747603989723,0.914051724137931
0.05,0.8055555555555556,0.15,0.9693063556550172,0.8848856216952221,0.9014685297762143,0.914051724137931
0.05,0.8333333333333334,0.05,0.9704470792925436,0.8859174914725968,0.9015397921307192,0.9139999999999999
0.05,0.8333333333333334,0.061111111111111116,0.9703265656842075,0.8858030134268996,0.901533783604832,0.9139999999999999
0.05,0.8333333333333334,0.07222222222222222,0.9702060520758713,0.8856885353812024,0.9015277735862536,0.9139999999999999
0.05,0.8333333333333334,0.08333333333333333,0.9700855384675352,0.8855740573355052,0.901521762074427,0.9139999999999999
0.05,0.8333333333333334,0.09444444444444444,0.9699650248591991,0.8854595792898082,0.9015157490687967,0.9139999999999999
0.05,0.8333333333333334,0.10555555555555556,0.9698445112508629,0.8853451012441111,0.9015097345688049,0.9139999999999999
0.05,0.8333333333333334,0.11666666666666665,0.9697239976425269,0.8852306231984138,0.9015037185738944,0.9139999999999999
0.05,0.8333333333333334,0.12777777777777777,0.9696034840341907,0.8851161451527167,0.9014977010835086,0.9139999999999999
0.05,0.8333333333333334,0.1388888888888889,0.9694829704258546,0.8850016671070197,0.9014916820970892,0.9139999999999999
0.05,0.8333333333333334,0.15,0.9693624568175185,0.8848871890613226,0.9014856616140783,0.9139999999999999
0.05,0.8611111111111112,0.05,0.9704645732034312,0.8858857221566493,0.9015549757997963,0.9139516129032258
0.05,0.8611111111111112,0.061111111111111116,0.9703479471308477,0.885774936951136,0.9015491630503755,0.9139516129032258
0.05,0.8611111111111112,0.07222222222222222,0.9702313210582644,0.8856641517456227,0.9015433489035185,0.9139516129032258
0.05,0.8611111111111112,0.08333333333333333,0.970114694985681,0.8855533665401093,0.9015375333587213,0.9139516129032258
0.05,0.8611111111111112,0.09444444444444444,0.9699980689130977,0.885442581334596,0.9015317164154798,0.9139516129032258
0.05,0.8611111111111112,0.10555555555555556,0.9698814428405144,0.8853317961290827,0.9015258980732895,0.9139516129032258
0.05,0.8611111111111112,0.11666666666666665,0.969764816767931,0.8852210109235693,0.9015200783316456,0.9139516129032258
0.05,0.8611111111111112,0.12777777777777777,0.9696481906953477,0.8851102257180559,0.9015142571900432,0.9139516129032258
0.05,0.8611111111111112,0.1388888888888889,0.9695315646227644,0.8849994405125426,0.9015084346479771,0.9139516129032258
0.05,0.8611111111111112,0.15,0.969414938550181,0.8848886553070293,0.901502610704942,0.9139516129032258
0.05,0.8888888888888888,0.05,0.9704809737448882,0.885855938422949,0.9015701044515217,0.9139062499999999
0.05,0.8888888888888888,0.061111111111111116,0.9703679922370729,0.885748615255108,0.9015644752282966,0.9139062499999999
0.05,0.8888888888888888,0.07222222222222222,0.9702550107292579,0.8856412920872667,0.9015588446940791,0.9139062499999999
0.05,0.8888888888888888,0.08333333333333333,0.9701420292214429,0.8855339689194257,0.9015532128484123,0.9139062499999999
0.05,0.8888888888888888,0.09444444444444444,0.9700290477136277,0.8854266457515847,0.9015475796908378,0.9139062499999999
0.05,0.8888888888888888,0.10555555555555556,0.9699160662058126,0.8853193225837436,0.9015419452208963,0.9139062499999999
0.05,0.8888888888888888,0.11666666666666665,0.9698030846979975,0.8852119994159026,0.9015363094381301,0.9139062499999999
0.05,0.8888888888888888,0.12777777777777777,0.9696901031901825,0.8851046762480616,0.9015306723420798,0.9139062499999999
0.05,0.8888888888888888,0.1388888888888889,0.9695771216823672,0.8849973530802204,0.9015250339322867,0.9139062499999999
0.05,0.8888888888888888,0.15,0.9694641401745522,0.8848900299123795,0.901519394208291,0.9139062499999999
0.05,0.9166666666666666,0.05,0.9704963803141357,0.8858279597640182,0.9015851830900132,0.9138636363636363
0.05,0.9166666666666666,0.061111111111111116,0.9703868224883756,0.8857238888133845,0.9015797262576304,0.9138636363636363
0.05,0.9166666666666666,0.07222222222222222,0.9702772646626154,0.8856198178627507,0.9015742681929426,0.9138636363636363
0.05,0.9166666666666666,0.08333333333333333,0.9701677068368554,0.885515746912117,0.9015688088955325,0.9138636363636363
0.05,0.9166666666666666,0.09444444444444444,0.9700581490110951,0.8854116759614832,0.9015633483649825,0.9138636363636363
0.05,0.9166666666666666,0.10555555555555556,0.9699485911853352,0.8853076050108495,0.9015578866008744,0.9138636363636363
0.05,0.9166666666666666,0.11666666666666665,0.969839033359575,0.8852035340602158,0.9015524236027908,0.9138636363636363
0.05,0.9166666666666666,0.12777777777777777,0.9697294755338149,0.8850994631095819,0.9015469593703126,0.9138636363636363
0.05,0.9166666666666666,0.1388888888888889,0.9696199177080548,0.8849953921589483,0.9015414939030222,0.9138636363636363
0.05,0.9166666666666666,0.15,0.9695103598822947,0.8848913212083144,0.9015360272005004,0.9138636363636363
0.05,0.9444444444444444,0.05,0.9705108806146039,0.8858016269085539,0.9016002161303792,0.9138235294117647
0.05,0.9444444444444444,0.061111111111111116,0.9704045450778367,0.885700616868233,0.9015949215370929,0.9138235294117647
0.05,0.9444444444444444,0.07222222222222222,0.9702982095410696,0.8855996068279118,0.9015896257833313,0.9138235294117647
0.05,0.9444444444444444,0.08333333333333333,0.9701918740043024,0.8854985967875909,0.9015843288687135,0.9138235294117647
0.05,0.9444444444444444,0.09444444444444444,0.9700855384675352,0.8853975867472699,0.9015790307928572,0.9138235294117647
0.05,0.9444444444444444,0.10555555555555556,0.9699792029307681,0.885296576706949,0.9015737315553807,0.9138235294117647
0.05,0.9444444444444444,0.11666666666666665,0.9698728673940009,0.8851955666666278,0.9015684311559019,0.9138235294117647
0.05,0.9444444444444444,0.12777777777777777,0.9697665318572337,0.885094556626307,0.9015631295940385,0.9138235294117647
0.05,0.9444444444444444,0.1388888888888889,0.9696601963204666,0.884993546585986,0.9015578268694081,0.9138235294117647
0.05,0.9444444444444444,0.15,0.9695538607836994,0.8848925365456649,0.9015525229816281,0.9138235294117647
0.05,0.9722222222222222,0.05,0.9705245523264739,0.8857767987876879,0.9016152074829021,0.9137857142857142
0.05,0.9722222222222222,0.061111111111111116,0.9704212549479001,0.8856786747485187,0.9016100658480416,0.9137857142857142
0.05,0.9722222222222222,0.07222222222222222,0.9703179575693263,0.8855805507093498,0.9016049231184529,0.9137857142857142
0.05,0.9722222222222222,0.08333333333333333,0.9702146601907525,0.885482426670181,0.9015997792937855,0.9137857142857142
0.05,0.9722222222222222,0.09444444444444444,0.9701113628121787,0.885384302631012,0.9015946343736904,0.9137857142857142
0.05,0.9722222222222222,0.10555555555555556,0.9700080654336048,0.8852861785918429,0.9015894883578169,0.9137857142857142
0.05,0.9722222222222222,0.11666666666666665,0.969904768055031,0.8851880545526739,0.9015843412458155,0.9137857142857142
0.05,0.9722222222222222,0.12777777777777777,0.9698014706764573,0.8850899305135052,0.9015791930373358,0.9137857142857142
0.05,0.9722222222222222,0.1388888888888889,0.9696981732978834,0.8849918064743361,0.901574043732027,0.9137857142857142
0.05,0.9722222222222222,0.15,0.9695948759193096,0.8848936824351671,0.9015688933295392,0.9137857142857142
0.05,1.0,0.05,0.9705374644987956,0.8857533500068695,0.9016301606231867,0.91375
0.05,1.0,0.061111111111111116,0.9704370364918489,0.8856579516354551,0.9016251634402708,0.91375
0.05,1.0,0.07222222222222222,0.9703366084849022,0.885562553264041,0.9016201652229567,0.91375
0.05,1.0,0.08333333333333333,0.9702361804779553,0.8854671548926266,0.9016151659709236,0.91375
0.05,1.0,0.09444444444444444,0.9701357524710086,0.8853717565212125,0.9016101656838499,0.91375
0.05,1.0,0.10555555555555556,0.9700353244640618,0.8852763581497981,0.9016051643614141,0.91375
0.05,1.0,0.11666666666666665,0.9699348964571151,0.8851809597783838,0.9016001620032947,0.91375
0.05,1.0,0.12777777777777777,0.9698344684501684,0.8850855614069696,0.9015951586091698,0.91375
0.05,1.0,0.1388888888888889,0.9697340404432215,0.8849901630355553,0.901590154178718,0.91375
0.05,1.0,0.15,0.9696336124362748,0.884894764664141,0.9015851487116168,0.91375
0.05454545454545455,0.75,0.05,0.9677971951540808,0.8835669797799706,0.9013642708216579,0.9141666666666667
0.05454545454545455,0.75,0.061111111111111116,0.9676524671637764,0.8834295001675776,0.9013570089449169,0.9141666666666667
0.05454545454545455,0.75,0.07222222222222222,0.9675077391734721,0.8832920205551844,0.9013497448955896,0.9141666666666667
0.05454545454545455,0.75,0.08333333333333333,0.9673630111831678,0.8831545409427912,0.9013424786727013,0.9141666666666667
0.05454545454545455,0.75,0.09444444444444444,0.9672182831928634,0.8830170613303983,0.9013352102752765,0.9141666666666667
0.05454545454545455,0.75,0.10555555555555556,0.9670735552025591,0.882879581718005,0.9013279397023386,0.9141666666666667
0.05454545454545455,0.75,0.11666666666666665,0.9669288272122548,0.8827421021056119,0.9013206669529106,0.9141666666666667
0.05454545454545455,0.75,0.12777777777777777,0.9667840992219506,0.8826046224932187,0.9013133920260153,0.9141666666666667
0.05454545454545455,0.75,0.1388888888888889,0.9666393712316461,0.8824671428808256,0.9013061149206748,0.9141666666666667
0.05454545454545455,0.75,0.15,0.9664946432413419,0.8823296632684325,0.9012988356359102,0.9141666666666667
0.05454545454545455,0.7777777777777778,0.05,0.9678204550096654,0.8835295509081528,0.9013797883938987,0.9141071428571428
0.05454545454545455,0.7777777777777778,0.061111111111111116,0.9676808958761578,0.8833969812819166,0.9013727883135667,0.9141071428571428
0.05454545454545455,0.7777777777777778,0.07222222222222222,0.9675413367426499,0.8832644116556803,0.9013657862138381,0.9141071428571428
0.05454545454545455,0.7777777777777778,0.08333333333333333,0.9674017776091421,0.883131842029444,0.9013587820938378,0.9141071428571428
0.05454545454545455,0.7777777777777778,0.09444444444444444,0.9672622184756344,0.8829992724032079,0.9013517759526921,0.9141071428571428
0.05454545454545455,0.7777777777777778,0.10555555555555556,0.9671226593421268,0.8828667027769717,0.9013447677895255,0.9141071428571428
0.05454545454545455,0.7777777777777778,0.11666666666666665,0.9669831002086189,0.8827341331507355,0.9013377576034631,0.9141071428571428
0.05454545454545455,0.7777777777777778,0.12777777777777777,0.9668435410751112,0.882601563524499,0.9013307453936285,0.9141071428571428
0.05454545454545455,0.7777777777777778,0.1388888888888889,0.9667039819416036,0.882468993898263,0.9013237311591453,0.9141071428571428
0.05454545454545455,0.7777777777777778,0.15,0.9665644228080956,0.8823364242720267,0.9013167148991367,0.9141071428571428
0.05454545454545455,0.8055555555555556,0.05,0.9678421107372787,0.8834947033378397,0.9013952247987091,0.914051724137931
