epsilon,cos_phi_r,delta,E_E0,Es_E0,Es_E,Es0_E0
0.05,0.8333333333333334,0.05,0.9264352587890625,0.8441634630459872,0.8992993539577165,0.9139999999999999
0.05,0.8333333333333334,0.061111111111111116,0.9261378857421876,0.8438812174025133,0.8992833539054965,0.9139999999999999
0.05,0.8333333333333334,0.07222222222222222,0.9258405126953125,0.8435989717590399,0.8992673435750829,0.9139999999999999
0.05,0.8333333333333334,0.08333333333333333,0.9255431396484375,0.8433167261155663,0.8992513229565677,0.9139999999999999
0.05,0.8333333333333334,0.09444444444444444,0.9252457666015625,0.8430344804720926,0.8992352920400317,0.9139999999999999
0.05,0.8333333333333334,0.10555555555555556,0.9249483935546876,0.842752234828619,0.8992192508155424,0.9139999999999999
0.05,0.8333333333333334,0.11666666666666665,0.9246510205078124,0.8424699891851453,0.8992031992731542,0.9139999999999999
0.05,0.8333333333333334,0.12777777777777777,0.9243536474609374,0.8421877435416718,0.8991871374029093,0.9139999999999999
0.05,0.8333333333333334,0.1388888888888889,0.9240562744140625,0.841905497898198,0.8991710651948365,0.9139999999999999
0.05,0.8333333333333334,0.15,0.9237589013671874,0.8416232522547245,0.8991549826389523,0.9139999999999999
0.05,0.8611111111111112,0.05,0.9264784258442539,0.8441560470910072,0.899316666747081,0.9139516129032258
0.05,0.8611111111111112,0.061111111111111116,0.9261906454763104,0.8438829061457103,0.8993011890869331,0.9139516129032258
0.05,0.8611111111111112,0.07222222222222222,0.925902865108367,0.8436097652004131,0.8992857018055455,0.9139516129032258
0.05,0.8611111111111112,0.08333333333333333,0.9256150847404234,0.843336624255116,0.8992702048939439,0.9139516129032258
0.05,0.8611111111111112,0.09444444444444444,0.9253273043724798,0.8430634833098192,0.899254698343144,0.9139516129032258
0.05,0.8611111111111112,0.10555555555555556,0.9250395240045362,0.842790342364522,0.8992391821441487,0.9139516129032258
0.05,0.8611111111111112,0.11666666666666665,0.9247517436365927,0.8425172014192249,0.899223656287951,0.9139516129032258
0.05,0.8611111111111112,0.12777777777777777,0.9244639632686492,0.8422440604739279,0.8992081207655319,0.9139516129032258
0.05,0.8611111111111112,0.1388888888888889,0.9241761829007057,0.8419709195286309,0.8991925755678616,0.9139516129032258
0.05,0.8611111111111112,0.15,0.9238884025327622,0.8416977785833337,0.899177020685899,0.9139516129032258
0.05,0.8888888888888888,0.05,0.9265188949584962,0.844149094633214,0.8993338329219764,0.9139062499999999
0.05,0.8888888888888888,0.061111111111111116,0.9262401077270508,0.8438844893424575,0.8993188449062177,0.9139062499999999
0.05,0.8888888888888888,0.07222222222222222,0.9259613204956054,0.843619884051701,0.8993038478653141,0.9139062499999999
0.05,0.8888888888888888,0.08333333333333333,0.9256825332641602,0.8433552787609442,0.8992888417911116,0.9139062499999999
0.05,0.8888888888888888,0.09444444444444444,0.9254037460327148,0.8430906734701877,0.8992738266754463,0.9139062499999999
0.05,0.8888888888888888,0.10555555555555556,0.9251249588012697,0.8428260681794313,0.8992588025101438,0.9139062499999999
0.05,0.8888888888888888,0.11666666666666665,0.9248461715698242,0.8425614628886747,0.8992437692870205,0.9139062499999999
0.05,0.8888888888888888,0.12777777777777777,0.9245673843383789,0.8422968575979182,0.8992287269978828,0.9139062499999999
0.05,0.8888888888888888,0.1388888888888889,0.9242885971069337,0.8420322523071617,0.899213675634527,0.9139062499999999
0.05,0.8888888888888888,0.15,0.9240098098754884,0.8417676470164053,0.8991986151887396,0.9139062499999999
0.05,0.9166666666666666,0.05,0.9265569113991476,0.844142563536499,0.8993508658284911,0.9138636363636363
0.05,0.9166666666666666,0.061111111111111116,0.9262865722656249,0.8438859765878867,0.8993363376951742,0.9138636363636363
0.05,0.9166666666666666,0.07222222222222222,0.9260162331321024,0.8436293896392744,0.8993218010792353,0.9138636363636363
0.05,0.9166666666666666,0.08333333333333333,0.9257458939985795,0.8433728026906617,0.8993072559732425,0.9138636363636363
0.05,0.9166666666666666,0.09444444444444444,0.9254755548650567,0.8431162157420494,0.8992927023697562,0.9138636363636363
0.05,0.9166666666666666,0.10555555555555556,0.925205215731534,0.8428596287934371,0.8992781402613272,0.9138636363636363
0.05,0.9166666666666666,0.11666666666666665,0.9249348765980114,0.8426030418448247,0.8992635696404984,0.9138636363636363
0.05,0.9166666666666666,0.12777777777777777,0.9246645374644887,0.8423464548962123,0.8992489904998036,0.9138636363636363
